order_number,producto_id,cliente_id,fecha_id,geografia_id,quantity_ordered,price_each,sales,status
10107,1,9,20030224,149,30,95.7,2871.0,Shipped
10121,1,78,20030507,27,34,81.35,2765.9,Shipped
10134,1,66,20030701,27,41,94.74,3884.34,Shipped
10145,1,44,20030825,149,45,83.26,3746.7,Shipped
10159,1,44,20031010,149,49,100.0,5205.27,Shipped
10168,1,86,20031028,149,36,96.66,3479.76,Shipped
10180,1,9,20031111,27,29,86.13,2497.77,Shipped
10188,1,70,20031118,70,48,100.0,5512.32,Shipped
10201,1,21,20031201,149,22,98.57,2168.54,Shipped
10211,1,10,20040115,27,41,100.0,4708.44,Shipped
10223,1,53,20040220,82,37,100.0,3965.66,Shipped
10237,1,98,20040405,149,23,100.0,2333.12,Shipped
10251,1,74,20040518,149,28,100.0,3188.64,Shipped
10263,1,77,20040628,149,34,100.0,3676.76,Shipped
10275,1,72,20040723,27,45,92.83,4177.35,Shipped
10285,1,79,20040827,149,36,100.0,4099.68,Shipped
10299,1,52,20040930,12,23,100.0,2597.39,Shipped
10309,1,13,20041015,70,41,100.0,4394.38,Shipped
10318,1,84,20041102,149,46,94.74,4358.04,Shipped
10329,1,46,20041115,149,42,100.0,4396.14,Shipped
10341,1,51,20041124,226,41,100.0,7737.93,Shipped
10361,1,38,20041217,82,20,72.55,1451.0,Shipped
10375,1,19,20050203,27,21,34.91,733.11,Shipped
10388,1,93,20050303,149,42,76.36,3207.12,Shipped
10403,1,79,20050408,87,24,100.0,2434.56,Shipped
10417,1,65,20050513,75,66,100.0,7516.08,Disputed
10103,2,41,20030129,70,26,100.0,5404.62,Shipped
10112,2,83,20030324,184,29,100.0,7209.11,Shipped
10126,2,55,20030528,75,38,100.0,7329.06,Shipped
10140,2,45,20030724,149,37,100.0,7374.1,Shipped
10150,2,46,20030919,246,45,100.0,10993.5,Shipped
10163,2,23,20031020,149,21,100.0,4860.24,Shipped
10174,2,10,20031106,82,34,100.0,8014.82,Shipped
10183,2,56,20031113,149,23,100.0,5372.57,Shipped
10194,2,89,20031125,27,42,100.0,7290.36,Shipped
10206,2,7,20031205,244,47,100.0,9064.89,Shipped
10215,2,86,20040129,149,35,100.0,6075.3,Shipped
10228,2,83,20040310,149,29,100.0,6463.23,Shipped
10245,2,28,20040504,149,34,100.0,6120.34,Shipped
